"keys","vals"
"depend",2
"dependent",0
"depending",0
"depends",4
"depressed",2
"depressing",1
"depression",6
"depth",6
"deputies",1
"deputy",0
"derby",2
"derek",1
"des",1
"describe",3
"described",2
"describes",1
"describing",0
"description",4
"desert",2
"deserve",7
"deserved",3
"deserves",5
"design",12
"designated",2
"designed",6
"designer",8
"designers",6
"designing",1
"designs",3
"desire",8
"desired",2
"desires",1
"desk",6
"desperate",5
"desperately",1
"despite",7
"dessert",5
"desserts",1
"destination",5
"destiny",1
"destroy",3
"destroyed",7
"destruction",2
"detail",7
"detailed",4
"details",13
"detective",1
"determination",2
"determine",4
"determined",4
"detroit",5
"devastating",1
"develop",4
"developed",2
"developer",1
"developers",0
"developing",6
"development",13
"developments",1
"device",4
"devices",6
"devil",1
"devils",1
"devoted",1
"dh",1
"di",0
"diabetes",1
"diagnosed",3
"diagnosis",2
"dialogue",1
"diamond",2
"diane",1
"diaper",1
"diapers",1
"diary",2
"diaz",1
"dick",3
"did",76
"didnt",31
"die",14
"died",16
"diego",1
"dies",1
"diet",6
"difference",9
"differences",1
"different",50
"differently",4
"difficult",21
"difficulties",1
"difficulty",2
"dig",3
"digging",1
"digital",12
"diner",0
"diners",1
"dining",4
"dinner",29
"dip",3
"direct",9
"directed",4
"direction",9
"directions",6
"directly",7
"director",11
"directors",3
"dirt",3
"dirty",6
"disability",0
"disabled",2
"disagree",5
"disappear",2
"disappeared",2
"disappointed",9
"disappointing",2
"disappointment",3
"disaster",4
"disc",1
"disciples",0
"discipline",3
"disclosure",2
"discount",3
"discounts",3
"discover",2
"discovered",9
"discovering",1
"discovery",4
"discrimination",0
"discuss",5
"discussed",5
"discussing",4
"discussion",9
"discussions",4
"disease",9
"disgusting",1
"dish",5
"dishes",4
"dislike",3
"dismissed",0
"disney",8
"disorder",1
"display",7
"displayed",1
"displays",0
"dispute",0
"distance",7
"distant",1
"distinct",2
"distinction",2
"distinctive",0
"distracted",1
"distress",2
"distribution",4
"district",11
"districts",2
"disturbing",3
"dive",4
"diverse",3
"diversity",3
"divide",3
"divided",2
"divine",2
"diving",1
"division",1
"divorce",5
"dj",4
"dna",5
"do",126
"doc",1
"doctor",6
"doctors",5
"document",4
"documentary",3
"documents",1
"dodgers",1
"doe",1
"does",44
"doesnt",31
"dog",18
"dogs",13
"doing",64
"doll",1
"dollar",6
"dollars",8
"dolphins",1
"domain",0
"domestic",3
"dominant",1
"dominated",1
"don",5
"donald",3
"donate",5
"donated",4
"donation",3
"donations",2
"done",58
"donna",0
"donors",1
"dont",65
"donuts",0
"door",16
"doors",8
"dope",0
"dose",4
"dot",0
"double",14
"doubled",1
"doubles",0
"doubt",10
"doubts",3
"doug",1
"dough",5
"douglas",1
"dow",1
"down",190
"download",4
"downloaded",1
"downs",1
"downstairs",1
"downtown",7
"dozen",2
"dozens",0
"dr",11
"draft",7
"drafted",1
"drag",4
"dragon",2
"drain",1
"drake",1
"drama",8
"dramatic",2
"dramatically",1
"drank",2
"draw",9
"drawing",6
"drawn",4
"draws",1
"dream",11
"dreamed",0
"dreaming",3
"dreams",15
"dress",15
"dressed",2
"dresses",3
"dressing",2
"drew",6
"dried",0
"drill",1
"drink",19
"drinking",14
"drinks",11
"drive",25
"driven",3
"driver",10
"drivers",5
"drives",4
"driveway",2
"driving",20
"drop",13
"dropped",11
"dropping",1
"drops",2
"drove",6
"drug",9
"drugs",12
"drum",2
"drummer",2
"drums",2
"drunk",6
"dry",12
"dt",0
"du",2
"duck",2
"ducks",1
"dude",1
"dudes",0
"due",13
"duh",0
"duke",2
"dumb",4
"dump",2
"dumped",2
"duncan",1
"dunk",0
"duo",3
"during",59
"dust",4
"dutch",2
"duties",1
"duty",4
"dvd",5
"dwight",0
"dying",13
"dylan",1
"dynamic",5
"e",7
"each",54
"eager",4
"eagle",0
"eagles",1
"ear",8
"earlier",21
"earliest",1
"early",39
"earn",4
"earned",5
"earning",1
"earnings",0
"earrings",0
"ears",8
"earth",8
"earthquake",2
"ease",4
"easier",17
"easiest",1
"easily",17
"east",14
"easter",7
"eastern",5
"easy",26
"eat",15
"eaten",3
"eating",21
"eats",2
"ebay",2
"ebook",2
"ebooks",2
"economic",7
"economics",1
"economist",2
"economists",0
"economy",10
"ed",5
"eddie",1
"edge",5
"edges",1
"edit",2
"edited",0
"editing",3
"edition",3
"editor",2
"editorial",2
"editors",0
"educate",1
"educated",1
"education",24
"educational",6
"educators",0
"edward",2
"edwards",0
"effect",10
"effective",15
"effectively",2
"effects",4
"efficiency",3
"efficient",4
"effort",11
"efforts",9
"eg",0
"egg",10
"eggs",8
"ego",3
"egypt",3
"eh",0
"eight",8
"eighth",2
"either",46
"el",6
"elaborate",3
"elbow",2
"elderly",3
"elected",3
"election",11
"elections",4
"electric",3
"electrical",1
"electricity",3
"electronic",3
"electronics",1
"elegant",3
"element",3
"elementary",2
"elements",5
"elephant",3
"elevator",2
"eleven",0
"eli",0
"eligible",2
"eliminate",3
"eliminated",1
"eliminating",0
"elite",2
"elizabeth",2
"ellen",1
"ellis",1
"else",25
"elses",3
"elsewhere",2
"em",2
"email",16
"emailed",1
"emails",5
"embarrassed",0
"embarrassing",2
"embassy",1
"embrace",4
"emerge",2
"emerged",1
"emergency",4
"emerging",1
"emily",1
"emma",1
"emotion",3
"emotional",6
"emotionally",0
"emotions",8
"emphasis",2
"empire",1
"employed",1
"employee",2
"employees",6
"employer",4
"employers",0
"employment",1
"empty",13
"en",0
"enable",3
"encounter",3
"encourage",7
"encouraged",4
"encouragement",2
"encouraging",6
"end",39
"endangered",1
"ended",12
"ending",7
"endless",2
"endorsed",1
"endorsement",2
"ends",10
"enemies",4
"enemy",6
"energy",18
"enforcement",1
"engage",4
"engaged",6
"engagement",2
"engaging",6
"engine",4
"engineer",2
"engineering",2
"engineers",1
"engines",0
"england",8
"english",12
"enhance",1
"enjoy",27
"enjoyable",4
"enjoyed",11
"enjoying",10
"enjoys",0
"enormous",1
"enough",74
"enrollment",0
"ensemble",1
"ensure",2
"enter",6
"entered",9
"entering",3
"enterprise",3
"entertaining",6
"entertainment",8
"enthusiasm",4
"entire",8
"entirely",5
"entitled",2
"entrance",3
"entrepreneur",2
"entrepreneurs",1
"entries",3
"entry",4
"environment",9
"environmental",5
"ep",0
"epic",4
"episode",13
"episodes",3
"equal",6
"equality",4
"equally",3
"equipment",3
"equipped",2
"equity",2
"equivalent",2
"er",2
"era",5
"eric",5
"error",4
"errors",0
"ers",2
"escape",2
"escaped",1
"esp",0
"especially",26
"espn",3
"espresso",3
"essay",1
"essence",2
"essential",5
"essentially",1
"essex",0
"est",1
"establish",1
"established",4
"establishment",2
"estate",3
"estimate",2
"estimated",4
"estimates",0
"et",1
"etc",0
"eternal",1
"ethical",2
"ethics",3
"ethnic",3
"etsy",2
"eu",1
"eugene",0
"euro",2
"europe",6
"european",4
"evaluate",1
"evaluation",2
"evans",3
"eve",4
"even",141
"evening",18
"evenings",0
"event",16
"events",19
"eventually",7
"ever",67
"every",102
"everybody",18
"everyday",3
"everyone",58
"everyones",6
"everything",67
"everytime",0
"everywhere",8
"evidence",12
"evil",7
"evolution",2
"evolved",0
"ex",2
"exact",5
"exactly",27
"exam",1
"examine",0
"example",10
"examples",0
"exams",1
"excellence",2
"excellent",10
"except",10
"exception",6
"exceptional",3
"excess",2
"exchange",7
"excited",25
"excitement",5
"exciting",15
"exclusive",4
"excuse",8
"excuses",4
"executed",2
"execution",1
"executive",5
"executives",0
"exercise",8
"exercises",1
"exhausted",0
"exhibit",5
"exhibition",1
"exhibits",1
"exist",9
"existed",0
"existence",4
"existing",4
"exists",3
"exit",4
"exotic",0
"expand",4
"expanded",2
"expanding",4
"expansion",1
"expect",19
"expectation",1
"expectations",9
"expected",13
"expecting",11
"expects",1
"expense",1
"expenses",0
"expensive",16
"experience",44
"experienced",6
"experiences",6
"experiencing",5
"experiment",2
"expert",3
"expertise",1
"experts",1
"explain",9
"explained",3
"explaining",1
"explains",2
"explanation",4
"exploration",0
"explore",3
"exploring",3
"explosion",1
"expo",1
"exposed",1
"exposure",3
"express",3
"expressed",1
"expression",4
"extend",5
"extended",5
"extension",1
"extensive",2
"extent",4
"extra",19
"extraordinary",4
"extreme",9
"extremely",13
"eye",16
"eyes",13
"f",6
"fa",1
"fab",1
"fabric",1
"fabulous",5
"face",27
"facebook",24
"faced",1
"faces",8
"facial",3
"facilities",0
"facility",1
"facing",6
"fact",9
"factor",6
"factors",2
"factory",2
"facts",4
"faculty",3
"fail",8
"failed",12
"failing",6
"fails",2
"failure",6
"failures",0
"fair",19
"fairly",5
"fairy",1
"faith",14
"faithful",2
"fake",7
"fall",34
"fallen",5
"falling",11
"falls",7
"false",7
"fam",0
"fame",3
"familiar",8
"families",11
"family",47
"familys",1
"famous",12
"fan",15
"fancy",6
"fans",23
"fantastic",10
"fantasy",3
"far",26
"fare",0
"farm",4
"farmer",1
"farmers",3
"farms",1
"farther",3
"fascinating",6
"fashion",9
"fast",21
"faster",9
"fastest",1
"fat",14
"fatal",1
"fate",2
"father",7
"fathers",2
"fault",7
"fave",0
"favor",7
"favorite",18
"favorites",3
"fb",0
"fbi",1
"fda",1
"fear",18
"feared",0
"fears",4
"feast",2
"feat",1
"feature",8
"featured",7
"features",3
"featuring",2
"feb",3
"february",8
"fed",5
"federal",7
"federation",1
"fee",4
"feed",8
"feedback",7
"feeding",2
"feel",51
"feeling",28
"feelings",11
"feels",8
"fees",1
"feet",16
"fell",10
"fellow",11
"felony",1
"felt",22
"female",8
"females",1
"fence",2
"ferry",1
"fest",2
"festival",7
"festivals",1
"fever",3
"few",17
"fewer",6
"fiber",2
"fiction",7
"field",20
"fielder",1
"fields",3
"fiesta",1
"fifteen",0
"fifth",4
"fifty",0
"fight",22
"fighter",3
"fighting",15
"fights",1
"figure",18
"figured",6
"figures",0
"figuring",2
"file",4
"filed",3
"files",1
"filing",1
"fill",11
"filled",9
"filling",6
"film",25
"filmed",3
"filming",2
"films",5
"final",19
"finale",2
"finally",26
"finals",2
"finance",2
"finances",3
"financial",10
"financially",0
"financing",0
"find",50
"finding",19
"findings",2
"finds",6
"fine",25
"fines",0
"finest",3
"finger",5
"fingers",5
"finish",13
"finished",20
"finishes",0
"finishing",7
"fire",21
"fired",7
"firefighters",1
"fires",2
"fireworks",2
"firing",0
"firm",7
"firmly",0
"firms",2
"first",77
"firstround",0
"fiscal",3
"fish",10
"fisher",0
"fishing",3
"fit",22
"fitness",5
"fits",3
"fitting",3
"fitzgerald",0
"five",33
"fix",8
"fixed",10
"fixing",1
"fl",1
"fla",0
"flag",5
"flags",4
"flames",2
"flash",3
"flat",6
"flavor",6
"flavors",0
"flaws",1
"fled",1
"fleet",1
"flesh",1
"flew",4
"flexibility",1
"flexible",2
"flies",1
"flight",9
"flights",1
"flip",3
"flipping",1
"float",1
"floating",1
"flood",3
"flooding",1
"floor",12
"floors",1
"florence",3
"florida",9
"flour",1
"flow",4
"flower",4
"flowers",4
"flowing",1
"floyd",1
"flu",3
"fluffy",2
"fluid",0
"fly",8
"flyers",1
"flying",8
"fm",0
"foam",0
"focus",17
"focused",10
"focuses",2
"focusing",4
"foil",4
"fold",3
"folk",1
"folks",15
"follow",27
"followed",12
"follower",1
"followers",5
"following",18
"follows",2
"food",59
"foods",11
"fool",2
"foolish",0
"fools",2
"foot",11
"footage",2
"football",15
"for",1772
"force",12
"forced",6
"forces",8
"forcing",2
"ford",3
"forecast",2
"foreclosure",0
"foreign",6
"forest",4
"forever",15
"forget",12
"forgetting",1
"forgive",5
"forgiveness",2
"forgot",4
"forgotten",9
"fork",2
"form",17
"formal",2
"format",2
"formed",4
"former",16
"formerly",0
"forms",5
"formula",1
"fort",5
"forth",4
"fortunate",4
"fortunately",0
"fortune",5
"forum",4
"forward",20
"foster",2
"fought",6
"foul",1
"found",41
"foundation",3
"foundations",0
"founded",2
"founder",1
"founding",2
"fountain",3
"four",31
"fourth",4
"fouryear",1
"fox",8
"frame",5
"france",6
"franchise",1
"francis",1
"francisco",1
"frank",1
"franklin",4
"frankly",3
"fraud",1
"freak",2
"freaking",0
"fred",1
"free",48
"freedom",10
"freelance",1
"freely",0
"freeze",1
"freezer",2
"freezing",2
"french",13
"frequent",2
"frequently",4
"fresh",18
"freshly",1
"freshman",4
"fri",0
"friday",35
"fridays",2
"fridge",2
"fried",4
"friend",22
"friendly",6
"friends",57
"friendship",5
"fries",4
"fringe",2
"from",687
"front",11
"frosting",1
"frozen",3
"fruit",9
"fruits",6
"frustrated",3
"frustrating",6
"frustration",3
"fry",2
"ft",1
"fudge",0
"fuel",8
"fulfill",1
"full",43
"fulltime",2
"fully",11
"fun",43
"function",2
"functions",0
"fund",7
"fundamental",2
"funded",3
"funding",8
"fundraiser",1
"fundraising",2
"funds",8
"funeral",2
"funk",1
"funniest",1
"funny",17
"furious",2
"furniture",4
"further",14
"future",23
"g",9
"ga",2
"gaga",1
"gain",7
"gained",5
"gaining",1
"gains",0
"gala",1
"galaxy",2
"galleries",3
"gallery",6
"gallon",3
"gallons",1
"gambling",0
"game",67
"games",41
"gaming",2
"gang",2
"gap",1
"gaps",0
"garage",5
"garbage",3
"garcia",0
"garden",9
"gardening",1
"gardens",2
"garlic",8
"gary",3
"gas",13
"gasoline",0
"gate",2
"gates",2
"gather",3
"gathered",2
"gathering",3
"gave",17
"gay",14
"gb",0
"gear",5
"geek",0
"gem",1
"gen",2
"gender",6
"gene",0
"general",9
"generally",3
"generals",3
"generate",3
"generated",1
"generating",1
"generation",9
"generations",1
"generous",6
"genius",3
"genre",1
"gentle",2
"gentleman",2
"gently",0
"genuine",3
"george",10
"georgia",4
"german",3
"germany",5
"gesture",0
"get",110
"gets",23
"getting",78
"ghost",2
"giant",5
"giants",3
"gift",17
"gifted",1
"gifts",7
"gig",4
"gilbert",0
"gin",2
"ginger",5
"gingrich",1
"girl",22
"girlfriend",7
"girlfriends",3
"girls",23
"give",60
"giveaway",0
"given",25
"gives",11
"giving",31
"glad",13
"glass",8
"glasses",3
"glee",1
"glen",0
"glenn",0
"glimpse",2
"glitter",1
"global",12
"globe",3
"glorious",4
"glory",4
"gloves",0
"glow",2
"glue",2
"glued",2
"gm",0
"go",95
"goal",24
"goalie",1
"goals",13
"goat",3
"god",38
"gods",4
"goes",25
"goin",0
"going",112
"gold",13
"golden",8
"golf",9
"gone",32
"gonna",10
"gonzalez",0
"good",131
"goodbye",3
"goodies",1
"goodness",4
"goodnight",0
"goods",4
"google",15
"gop",3
"gordon",1
"gorgeous",6
"gosh",1
"gospel",2
"gossip",1
"got",61
"gotta",5
"gotten",14
"gourmet",0
"gov",2
"government",19
"governments",2
"governor",4
"governors",1
"gps",2
"gr",0
"grab",4
"grabbed",3
"grace",6
"grad",0
"grade",10
"grades",2
"graduate",7
"graduated",2
"graduates",1
"graduating",1
"graduation",3
"graham",1
"grain",2
"grains",2
"grams",0
"grand",9
"grandchildren",0
"grandfather",4
"grandma",3
"grandmother",4
"grandparents",2
"granite",0
"grant",7
"granted",3
"grants",1
"grapes",2
"graphic",2
"graphics",0
"grasp",2
"grass",3
"grateful",8
"gratitude",1
"grave",2
"gravity",1
"gray",6
"great",84
"greater",11
"greatest",6
"greatly",4
"greece",5
"greek",2
"green",25
"greens",1
"greg",2
"gregory",0
"grew",8
"grey",3
"grid",2
"grief",0
"griffin",2
"grill",4
"grilled",3
"grind",2
"grip",3
"grocery",3
"gross",4
"ground",16
"grounds",3
"group",29
"groups",8
"grove",2
"grow",13
"growing",14
"grown",11
"grows",2
"growth",9
"guarantee",6
"guaranteed",1
"guard",7
"guardian",1
"guards",1
"guess",9
"guessing",1
"guest",7
"guests",9
"guidance",2
"guide",5
"guided",1
"guidelines",2
"guides",2
"guilt",2
"guilty",5
"guitar",9
"gulf",1
"gum",1
"gun",6
"guns",4
"guru",0
"gut",3
"guy",30
"guys",24
"gym",2
"h",3
"ha",1
"habit",3
"habitat",1
"habits",3
"hacked",1
"hacking",2
"had",128
"hadnt",8
"hail",0
"hair",18
"haircut",1
"haiti",4
"half",35
"halftime",1
"halfway",3
"hall",10
"halloween",4
"halls",2
"hallway",1
"ham",1
"hamilton",5
"hammer",2
"hand",25
"handed",3
"handful",1
"handle",7
"handled",2
"handles",1
"handling",2
"handmade",0
"hands",17
"handsome",1
"handy",2
"hang",5
"hanging",9
"hangover",2
"hannah",1
"happen",30
"happened",22
"happening",18
"happens",13
"happier",6
"happily",2
"happiness",5
"happy",48
"harbor",2
"hard",44
"harder",12
"hardest",1
"hardly",7
"hardware",1
"harm",3
"harper",1
"harris",0
"harrison",1
"harry",7
"harsh",2
"hart",0
"harvard",3
"harvest",3
"harvey",1
"has",294
"hashtag",0
"hasnt",10
"hat",10
"hate",14
"hated",4
"haters",1
"hates",2
"hating",0
"hatred",1
"hats",2
"haunted",1
"have",274
"havent",11
"having",56
"hawaii",3
"hawks",1
"hay",0
"hayes",0
"hbo",2
"hd",0
"he",387
"head",30
"headache",2
"headed",8
"heading",10
"headline",0
"headlines",1
"headphones",0
"headquarters",1
"heads",5
"heal",3
"healing",3
"health",32
"healthcare",3
"healthier",5
"healthy",17
"hear",24
"heard",28
"hearing",13
"hearings",1
"heart",23
"hearts",7
"heat",18
"heated",2
"heather",0
"heating",0
"heaven",4
"heavenly",1
"heavily",0
"heavy",14
"heck",3
"hed",8
"heels",3
"height",3
"heights",4
"held",19
"helen",0
"helicopter",2
"hell",25
"hello",6
"helmet",3
"help",55
"helped",17
"helpful",9
"helping",16
"helps",10
"hence",0
"henry",2
"her",212
"herb",1
"herbs",2
"here",130
"heres",8
"heritage",4
"hero",5
"heroes",5
"hers",1
"herself",7
"hes",65
"hey",13
"hi",3
"hidden",9
"hide",2
"hiding",6
"high",56
"higher",16
"highest",3
"highland",0
"highlight",3
"highlighted",1
"highlights",1
"highly",10
"highway",3
"hike",2
"hiking",1
"hilarious",0
"hill",5
"hills",3
"hilton",1
"him",176
"himself",20
"hint",4
"hip",5
"hiphop",2
"hire",4
"hired",7
"hiring",1
"his",286
"hispanic",1
"historic",8
"historical",4
"history",29
"hit",44
"hits",6
"hitter",0
"hitting",4
"hm",0
"hmm",0
"ho",1
"hobby",2
"hoboken",0
"hockey",6
"hoe",0
"hold",23
"holder",1
"holding",15
"holds",4
"hole",7
"holes",1
"holiday",14
"holidays",4
"holland",1
"holly",1
"hollywood",4
"holmes",1
"holy",7
"home",105
"homeless",5
"homemade",3
"homeowners",1
"homer",1
"homers",0
"homes",7
"hometown",1
"homework",2
"homicide",0
"honda",1
"honest",7
"honestly",3
"honesty",1
"honey",5
"hong",1
"honor",10
"honored",6
"honors",1
"hood",3
"hook",2
"hooked",2
"hop",2
"hope",40
"hoped",4
"hopeful",1
"hopefully",8
"hopes",6
"hoping",13
"hopkins",2
"hops",0
"horizon",1
"horrible",7
"horror",3
"horse",6
"horses",3
"hospital",9
"hospitality",2
"hospitals",1
"host",8
"hosted",1
"hosting",3
"hosts",0
"hot",41
"hotel",11
"hotels",2
"hottest",1
"hour",22
"hours",52
"house",44
"household",3
"houses",3
"housing",8
"houston",6
"how",174
"howard",4
"howell",0
"however",11
"hows",0
"hp",0
"hr",2
"hs",0
"hub",2
"hubby",0
"hudson",1
"hug",3
"huge",17
"hughes",0
"hugs",1
"huh",2
"human",20
"humanity",4
"humans",6
"humble",3
"humor",1
"hundred",6
"hundreds",6
"hung",3
"hunger",7
"hungry",11
"hunt",5
"hunter",4
"hunters",0
"hunting",3
"hurricane",2
"hurry",2
"hurt",31
"hurting",1
"hurts",4
"husband",9
"husbands",2
"hybrid",1
"hype",1
"i",1360
"ian",1
"ice",15
"iced",0
"icing",1
"icon",2
"iconic",3
"id",45
"idaho",1
"idea",26
"ideal",4
"ideas",21
"identical",1
"identification",0
"identified",1
"identify",3
"identity",5
"idiot",1
"idiots",0
"idol",1
"ie",0
"if",434
"ignorance",0
"ignorant",1
"ignore",7
"ignored",3
"ignoring",3
"ii",3
"il",0
"ill",57
"illegal",12
"illegally",0
"illinois",5
"illness",2
"illustrated",2
"im",209
"ima",0
"image",5
"images",4
"imagination",5
"imagine",12
"imagined",4
"immediate",5
"immediately",7
"immigrant",2
"immigrants",3
"immigration",6
"impact",14
"imperial",1
"implement",2
"implemented",0
"implications",1
"importance",3
"important",30
"importantly",2
"impose",2
"imposed",0
"impossible",12
"impressed",10
"impression",3
"impressive",7
"improve",4
"improved",5
"improvement",6
"improvements",2
"improving",5
"in",2597
"inappropriate",3
"inbox",2
"inc",2
"incentive",2
"incentives",0
"inch",7
"inches",6
"incident",2
"incidents",2
"include",18
"included",10
"includes",6
"including",17
"income",5
"incorporate",1
"incorporated",1
"increase",7
"increased",4
"increases",2
"increasing",5
"increasingly",2
"incredible",9
"incredibly",6
"indeed",8
"independence",2
"independent",6
"index",3
"india",6
"indian",4
"indiana",7
"indianapolis",2
"indians",3
"indicate",2
"indicated",2
"indicates",1
"indication",2
"indictment",0
"indie",3
"individual",9
"individuals",8
"indoor",2
"industrial",3
"industries",1
"industry",13
"indy",0
"inevitable",3
"infection",0
"infinite",1
"inflation",0
"influence",7
"influenced",1
"influences",0
"influential",1
"info",4
"information",29
"informed",8
"infrastructure",0
"ingredients",3
"initial",5
"initially",2
"initiative",1
"initiatives",0
"injured",9
"injuries",4
"injury",7
"ink",2
"inn",1
"inner",5
"inning",3
"innings",1
"innocent",4
"innovation",4
"innovative",4
"input",3
"inquiry",1
"insane",6
"insanity",1
"insert",1
"inside",23
"insight",2
"insights",1
"inspiration",8
"inspire",4
"inspired",12
"inspiring",5
"instagram",0
"install",1
"installed",2
"instance",2
"instances",0
"instant",2
"instantly",3
"instead",14
"institute",4
"institution",2
"institutions",1
"instruction",0
"instructions",1
"instructor",0
"instrument",2
"instruments",1
"insurance",10
"integrity",3
"intellectual",1
"intelligence",4
"intelligent",4
"intend",3
"intended",4
"intense",11
"intensity",1
"intent",2
"intention",3
"intentions",2
"interact",2
"interaction",1
"interactive",2
"interest",18
"interested",21
"interesting",21
"interests",4
"interim",1
"interior",2
"internal",3
"international",13
"internet",11
"internship",2
"interpretation",1
"intersection",1
"interstate",1
"intervention",2
"interview",15
"interviewed",2
"interviews",4
"intimate",2
"into",212
"intrigued",0
"intriguing",1
"introduce",3
"introduced",9
"introducing",0
"introduction",1
"invasion",2
"invented",2
"invest",2
"invested",0
"investigate",2
"investigating",2
"investigation",2
"investigations",0
"investigators",0
"investing",0
"investment",4
"investments",1
"investor",1
"investors",2
"invisible",0
"invitation",1
"invite",4
"invited",9
"inviting",2
"involve",6
"involved",15
"involvement",1
"involves",3
"involving",2
"iowa",5
"ip",0
"ipa",1
"ipad",8
"iphone",7
"ipod",4
"iran",3
"iraq",4
"ireland",3
"irish",4
"iron",6
"ironically",0
"irony",1
"is",1462
"ish",1
"islam",0
"islamic",2
"island",11
"islands",1
"isnt",30
"isolated",1
"israel",8
"israeli",1
"issue",18
"issued",2
"issues",28
"it",979
"italian",8
"italy",4
"itd",0
"item",6
"items",6
"itll",5
"its",487
"itself",10
"itunes",3
"iv",1
"ive",81
"ivy",1
"j",8
"jack",10
"jacket",4
"jackets",1
"jackie",1
"jackson",4
"jacksonville",2
"jacob",0
"jacobs",1
"jail",6
"jake",2
"jam",1
"james",19
"jamie",1
"jan",6
"jane",3
"january",10
"japan",8
"japanese",2
"jar",2
"jared",1
"jason",4
"jay",6
"jazz",7
"jealous",2
"jean",2
"jeans",7
"jeff",3
"jefferson",3
"jeffrey",1
"jelly",2
"jen",0
"jenkins",0
"jennifer",2
"jenny",0
"jeremy",1
"jerk",2
"jerry",1
"jersey",3
"jerusalem",2
"jesse",1
"jessica",2
"jesus",10
"jet",5
"jets",2
"jewelry",2
"jewish",4
"jews",2
"jim",7
"jimmy",3
"jk",0
"jo",0
"joan",0
"job",44
"jobs",21
"joe",9
"joel",1
"joes",2
"joey",0
"john",30
"johnny",3
"johns",4
"johnson",2
"join",8
"joined",8
"joining",8
"joins",0
"joint",3
"joke",4
"jokes",3
"jon",0
"jonathan",1
"jones",5
"jordan",3
"jose",2
"joseph",2
"josh",4
"joshua",2
"journal",2
"journalism",4
"journalist",1
"journalists",3
"journey",8
"joy",10
"jr",4
"juan",1
"judge",8
"judges",1
"judging",1
"judgment",1
"judicial",1
"judy",1
"juice",8
"juicy",2
"julia",0
"julie",1
"july",19
"jump",10
"jumped",3
"jumping",3
"june",15
"junior",7
"junk",2
"jurors",0
"jury",3
"just",246
"justice",13
"justin",4
"juvenile",1
"k",10
"kansas",4
"karaoke",1
"karen",1
"karl",0
"karma",1
"kate",2
"kathy",1
"katie",1
"kay",0
"kc",0
"keen",2
"keep",33
"keeping",23
"keeps",9
"keith",0
"kelly",3
"ken",1
"kennedy",3
"kenny",0
"kent",1
"kentucky",6
"kept",22
"kevin",7
"key",16
"keyboard",2
"keynote",2
"keys",4
"kick",9
"kicked",6
"kicking",2
"kickoff",1
"kicks",2
"kid",16
"kidding",4
"kidney",2
"kids",49
"kill",13
"killed",16
"killer",3
"killing",10
"kills",3
"kim",2
"kind",44
"kinda",2
"kindergarten",0
"kindle",3
"kindly",0
"kindness",2
"kinds",8
"king",14
"kingdom",3
"kings",4
"kirk",1
"kiss",6
"kisses",0
"kit",2
"kitchen",6
"kitty",0
"knee",6
"knees",6
"knew",17
"knicks",2
"knife",4
"knight",2
"knitting",1
"knock",4
"knocked",6
"knocking",1
"know",54
"knowing",10
"knowledge",16
"known",26
"knows",18
"kobe",0
"kong",1
"korea",3
"korean",3
"kudos",0
"kurt",0
"ky",2
"kyle",1
"l",5
"la",19
"lab",5
"label",3
"labels",2
"labor",7
